â„–,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Liverpool,17,14,3,0,37,7,45,34.64-2.36,13.58+6.58,37.09-7.91
2,Manchester City,17,14,2,1,48,10,44,45.35-2.65,12.85+2.85,41.21-2.79
3,Tottenham,17,13,0,4,31,16,39,29.66-1.34,20.92+4.92,29.96-9.04
4,Chelsea,17,11,4,2,35,14,37,31.65-3.35,16.45+2.45,34.86-2.14
5,Arsenal,17,10,4,3,37,23,34,25.77-11.23,21.76-1.24,26.30-7.70
6,Manchester United,17,7,5,5,29,29,26,27.85-1.15,26.78-2.22,23.54-2.46
7,Wolverhampton Wanderers,17,7,4,6,19,19,25,23.41+4.41,15.02-3.98,28.98+3.98
8,Everton,17,6,6,5,24,22,24,25.04+1.04,24.56+2.56,23.62-0.38
9,West Ham,17,7,3,7,25,25,24,22.06-2.94,26.48+1.48,21.33-2.67
10,Watford,17,7,3,7,23,25,24,24.99+1.99,21.27-3.73,26.08+2.08
11,Bournemouth,17,7,2,8,25,28,23,25.72+0.72,25.94-2.06,23.63+0.63
12,Leicester,17,6,4,7,21,21,22,20.96-0.04,19.01-1.99,24.95+2.95
13,Brighton,17,6,3,8,20,24,21,16.87-3.13,28.87+4.87,14.72-6.28
14,Newcastle United,17,4,4,9,14,22,16,16.64+2.64,27.96+5.96,15.08-0.92
15,Crystal Palace,17,4,3,10,14,23,15,18.85+4.85,23.09+0.09,20.61+5.61
16,Cardiff,17,4,2,11,17,33,14,18.84+1.84,27.68-5.32,18.67+4.67
17,Southampton,17,2,6,9,16,32,12,21.21+5.21,26.91-5.09,19.13+7.13
18,Burnley,17,3,3,11,15,33,12,14.07-0.93,34.84+1.84,11.66-0.34
19,Huddersfield,17,2,4,11,10,28,10,11.61+1.61,24.29-3.71,15.60+5.60
20,Fulham,17,2,3,12,16,42,9,17.02+1.02,33.97-8.03,13.73+4.73